latent_dim,seed,mse_overall,mse_F1_dominant,mse_F2_secondary,mse_F3_minority_signal,mse_F4_rare_subtype,mse_F5_correlated_pair,frobenius_distance,normalized_frobenius,r2_F1_dominant,r2_F2_secondary,r2_F3_minority_signal,r2_F4_rare_subtype,r2_F5_correlated_pair,silhouette_rare,n_active_dims,n_collapsed_dims,active_fraction,mean_kl,max_kl,val_loss,val_recon,val_kl,n_epochs
50,0,0.0484795980155468,0.021084675565361977,0.039548616856336594,0.052053727209568024,0.14512868225574493,0.060125283896923065,1.328070896229066,0.026561417924581318,0.9979941844940186,0.9949867725372314,0.9894946217536926,0.9450406432151794,0.9872388243675232,0.41128218173980713,5,45,0.1,0.12206359952688217,1.7339057922363281,8.64376449584961,2.363689422607422,6.2800750732421875,92
50,1,0.042654916644096375,0.01804106868803501,0.030124453827738762,0.04323289543390274,0.1435069739818573,0.05088149011135101,1.3850292535727853,0.027700585071455706,0.9985758066177368,0.9961989521980286,0.9933608174324036,0.9169801473617554,0.9812647700309753,0.3075634837150574,5,45,0.1,0.12277226150035858,1.828484058380127,8.435009002685547,2.17415452003479,6.260854244232178,91
50,2,0.047983963042497635,0.026379330083727837,0.0355561338365078,0.0473034530878067,0.13973206281661987,0.05702948570251465,1.4762273336438083,0.029524546672876167,0.9979843497276306,0.9941009879112244,0.9917760491371155,0.9638369083404541,0.9801275730133057,0.3046937882900238,5,45,0.1,0.12270058691501617,1.8385696411132812,8.697944641113281,2.4000234603881836,6.297921180725098,87
50,3,0.045238908380270004,0.01952419802546501,0.0311629306524992,0.05499394237995148,0.1405639499425888,0.05354277044534683,1.2285433544104176,0.024570867088208354,0.9973489046096802,0.9966815114021301,0.9924235343933105,0.95570969581604,0.9827914237976074,0.34911996126174927,5,45,0.1,0.1233886182308197,1.8104315996170044,8.701623916625977,2.4229400157928467,6.278683662414551,91
50,4,0.05144720524549484,0.024361543357372284,0.034413907676935196,0.044966310262680054,0.18077674508094788,0.056942831724882126,1.2403770863534365,0.02480754172706873,0.9979583621025085,0.9957396388053894,0.9933410882949829,0.9822761416435242,0.982731819152832,0.4718722999095917,5,45,0.1,0.12802498042583466,1.7407877445220947,8.992310523986816,2.584419012069702,6.407891273498535,46
40,0,0.04630157724022865,0.020285896956920624,0.035252656787633896,0.049561966210603714,0.14283952116966248,0.05819905549287796,1.2214031521380158,0.024428063042760316,0.998016893863678,0.9948176145553589,0.9899778366088867,0.9474413394927979,0.9861391186714172,0.4035894274711609,5,35,0.125,0.1543949842453003,1.788183569908142,8.685057640075684,2.3203623294830322,6.3646955490112305,75
40,1,0.045005328953266144,0.022171298041939735,0.03293798863887787,0.04334182292222977,0.14212661981582642,0.0530225932598114,1.391664148203572,0.02783328296407144,0.9985542893409729,0.9958983659744263,0.993473470211029,0.9494946002960205,0.9824227094650269,0.33471420407295227,5,35,0.125,0.15128831565380096,1.7296849489212036,8.36559009552002,2.225353240966797,6.140236854553223,85
40,2,0.04756207391619682,0.02256804145872593,0.039654526859521866,0.04710269719362259,0.14331325888633728,0.053546831011772156,1.289067136983482,0.02578134273966964,0.997776985168457,0.9943206906318665,0.9916115999221802,0.9706109166145325,0.9852861762046814,0.3282370865345001,6,34,0.15,0.1565779149532318,1.819612741470337,8.72852897644043,2.418625593185425,6.309903144836426,60
40,3,0.04605165868997574,0.019422169774770737,0.035394638776779175,0.06008060649037361,0.132820725440979,0.0529586523771286,1.3213913210877817,0.026427826421755632,0.9976431727409363,0.9965916872024536,0.9923261404037476,0.9258185029029846,0.9827590584754944,0.35178816318511963,5,35,0.125,0.15396130084991455,1.814409852027893,8.531494140625,2.2665412425994873,6.264953136444092,99
40,4,0.049648210406303406,0.023719899356365204,0.033632174134254456,0.04571923986077309,0.17667551338672638,0.044654857367277145,1.2946913454729492,0.025893826909458982,0.9982683658599854,0.9950752258300781,0.9916973114013672,0.943491518497467,0.9823201894760132,0.36749982833862305,5,35,0.125,0.15295520424842834,1.720062494277954,8.711627960205078,2.569654703140259,6.141973495483398,100
30,0,0.04805094376206398,0.022224124521017075,0.03592011705040932,0.04806071147322655,0.1454010307788849,0.06753289699554443,1.3249854453588292,0.026499708907176584,0.9982761740684509,0.9949371218681335,0.991251528263092,0.9476245045661926,0.9806841611862183,0.40481558442115784,5,25,0.16666666666666666,0.2040373682975769,1.7493590116500854,8.863512992858887,2.5056400299072266,6.35787296295166,92
30,1,0.04481498524546623,0.01935482583940029,0.030278300866484642,0.042272284626960754,0.1470726877450943,0.0674247220158577,1.3974381856067826,0.02794876371213565,0.9980636835098267,0.9962562918663025,0.993800699710846,0.8819260597229004,0.9808666110038757,0.2846052646636963,5,25,0.16666666666666666,0.20110026001930237,1.7463680505752563,8.440019607543945,2.2769272327423096,6.163092613220215,88
30,2,0.0466596856713295,0.021231727674603462,0.036153122782707214,0.04491161182522774,0.15009231865406036,0.0536663718521595,1.8087996126119679,0.03617599225223936,0.9981203079223633,0.9944623112678528,0.9913678169250488,0.9401878118515015,0.9828671216964722,0.2991064190864563,5,25,0.16666666666666666,0.20327001810073853,1.828019380569458,8.722955703735352,2.3818814754486084,6.341073989868164,94
30,3,0.04440468177199364,0.02037588506937027,0.02932564914226532,0.05558132752776146,0.13286833465099335,0.05473696067929268,1.2347378244138,0.024694756488276,0.9979239702224731,0.9974483847618103,0.992798388004303,0.968972384929657,0.984101414680481,0.37181878089904785,5,25,0.16666666666666666,0.20664764940738678,1.7726043462753296,8.515068054199219,2.3467400074005127,6.168328285217285,81
30,4,0.04719507694244385,0.020009811967611313,0.03214390203356743,0.039960335940122604,0.1745246797800064,0.05175001546740532,1.2508693213974453,0.025017386427948908,0.9979274868965149,0.9942219257354736,0.9935185313224792,0.925177812576294,0.9749764204025269,0.36619311571121216,5,25,0.16666666666666666,0.20785610377788544,1.8407883644104004,8.713069915771484,2.49302077293396,6.2200493812561035,80
20,0,0.04808706417679787,0.020893778651952744,0.04030380770564079,0.04639504849910736,0.1521359384059906,0.05471399798989296,1.4974016162935155,0.02994803232587031,0.9975959062576294,0.993925929069519,0.9911321997642517,0.9360520839691162,0.986427366733551,0.40942293405532837,5,15,0.25,0.30382049083709717,1.6477659940719604,8.629688262939453,2.370246648788452,6.25944185256958,96
20,1,0.043688658624887466,0.020034493878483772,0.03203396126627922,0.04054035246372223,0.14201878011226654,0.05572502315044403,1.404723566052754,0.028094471321055078,0.9979645013809204,0.9957609176635742,0.9921895861625671,0.8712202310562134,0.9828907251358032,0.29748475551605225,5,15,0.25,0.3060571551322937,1.7348209619522095,8.456737518310547,2.2059898376464844,6.250747203826904,64
20,2,0.04572038725018501,0.020993847399950027,0.03837960958480835,0.044995035976171494,0.14038310945034027,0.05083206295967102,1.2911420537953076,0.025822841075906152,0.9980002045631409,0.9938792586326599,0.9901499152183533,0.9543284177780151,0.9829023480415344,0.3073168992996216,5,15,0.25,0.3041956126689911,1.7446953058242798,8.812470436096191,2.3783040046691895,6.434166431427002,83
20,3,0.0461154542863369,0.022789599373936653,0.03016006201505661,0.05580529198050499,0.13325518369674683,0.06052166223526001,1.164095150890412,0.02328190301780824,0.9972119331359863,0.9965121150016785,0.9918026328086853,0.9545503854751587,0.9789936542510986,0.3915579319000244,6,14,0.3,0.3124333620071411,1.7850440740585327,8.699456214904785,2.343991279602051,6.355464935302734,45
20,4,0.04988463595509529,0.021569637581706047,0.037208348512649536,0.03965606540441513,0.18009844422340393,0.05462491884827614,1.4371221111044084,0.028742442222088167,0.9977638721466064,0.9950719475746155,0.9928674101829529,0.9761948585510254,0.9834985136985779,0.3903828561306,5,15,0.25,0.3031342923641205,1.7227692604064941,8.850433349609375,2.440056085586548,6.410377502441406,60
15,0,0.04691895842552185,0.021638574078679085,0.0373985581099987,0.05126446485519409,0.1420365869998932,0.05051464959979057,1.5183389763753063,0.030366779527506126,0.9971634149551392,0.9939628839492798,0.990535318851471,0.916415810585022,0.9789968729019165,0.40461161732673645,5,10,0.3333333333333333,0.4155600965023041,1.7509686946868896,8.688190460205078,2.340365409851074,6.347825050354004,52
15,1,0.04533680900931358,0.023443372920155525,0.031352560967206955,0.04122672602534294,0.14375171065330505,0.057354554533958435,1.6843424132131595,0.033686848264263186,0.997468888759613,0.996681272983551,0.9936162829399109,0.9134755730628967,0.9789294600486755,0.3168845474720001,5,10,0.3333333333333333,0.40309563279151917,1.7573829889297485,8.60128402709961,2.328131675720215,6.273151874542236,54
15,2,0.045826103538274765,0.02183341048657894,0.037341032177209854,0.044342733919620514,0.14137472212314606,0.050888627767562866,1.2109237202412972,0.024218474404825944,0.9969693422317505,0.9938709735870361,0.9935916066169739,0.9495336413383484,0.9829636216163635,0.33884960412979126,6,9,0.4,0.4169384837150574,1.8282543420791626,8.669507026672363,2.3380706310272217,6.3314361572265625,65
15,3,0.045389894396066666,0.02042241580784321,0.032880935817956924,0.057701706886291504,0.1318354606628418,0.053462158888578415,1.28149889940348,0.0256299779880696,0.9977914690971375,0.9964789748191833,0.9923288226127625,0.8966633081436157,0.9789035320281982,0.3523346483707428,5,10,0.3333333333333333,0.4067322909832001,1.7959295511245728,8.531013488769531,2.36041259765625,6.170600891113281,76
15,4,0.04891763627529144,0.02190958708524704,0.03527386486530304,0.042766764760017395,0.17298774421215057,0.051085811108350754,1.6365138070377208,0.03273027614075442,0.9981727600097656,0.9951168894767761,0.9924616813659668,0.9616508483886719,0.9863203763961792,0.38518261909484863,5,10,0.3333333333333333,0.41020792722702026,1.8039119243621826,8.795151710510254,2.520106077194214,6.275045394897461,75
10,0,0.04662269353866577,0.02110668085515499,0.03574825078248978,0.045913346111774445,0.14363853633403778,0.06272105127573013,1.2660744678953944,0.025321489357907886,0.9970597624778748,0.9938901662826538,0.9897964000701904,0.9385008811950684,0.9885454177856445,0.4153875708580017,5,5,0.5,0.6232031583786011,1.750007152557373,8.606550216674805,2.3260531425476074,6.280496597290039,44
10,1,0.04470757767558098,0.01909039542078972,0.03096552938222885,0.04321322590112686,0.14607775211334229,0.06495306640863419,1.5387539389536493,0.030775078779072988,0.9982479810714722,0.9963240027427673,0.9935907125473022,0.8800755143165588,0.9728904962539673,0.28306877613067627,5,5,0.5,0.6066604256629944,1.8284488916397095,8.420719146728516,2.2396023273468018,6.181116580963135,55
10,2,0.04700779169797897,0.02489897422492504,0.036826036870479584,0.04538442939519882,0.13883286714553833,0.05360622704029083,1.582959221610579,0.03165918443221158,0.9973976016044617,0.9934573769569397,0.9898806810379028,0.9262042045593262,0.9850488901138306,0.306588351726532,5,5,0.5,0.6154507398605347,1.7972434759140015,8.680779457092285,2.369441032409668,6.311338424682617,43
10,3,0.04602751135826111,0.020927995443344116,0.0349477156996727,0.05326010659337044,0.13301758468151093,0.0598142184317112,1.4881360875961143,0.029762721751922284,0.9967731237411499,0.9963938593864441,0.9915942549705505,0.9213155508041382,0.9829670786857605,0.35801956057548523,5,5,0.5,0.6098343133926392,1.7350937128067017,8.875754356384277,2.5344841480255127,6.3412699699401855,64
10,4,0.050561897456645966,0.02501521445810795,0.033762723207473755,0.04372382536530495,0.1739281415939331,0.057319629937410355,1.94451006756946,0.0388902013513892,0.9979398250579834,0.9947179555892944,0.9829858541488647,0.920100748538971,0.9815689325332642,0.3713947832584381,5,5,0.5,0.6076689958572388,1.6966842412948608,8.68331241607666,2.428607225418091,6.25470495223999,64
8,0,0.04715292528271675,0.02079356648027897,0.03543979674577713,0.053079523146152496,0.14385473728179932,0.05718319118022919,1.4944822208187154,0.029889644416374306,0.9979629516601562,0.9945399761199951,0.9864548444747925,0.9430493116378784,0.9868496656417847,0.4333058297634125,5,3,0.625,0.7766854166984558,1.7710548639297485,8.617945671081543,2.488675832748413,6.129269599914551,49
8,1,0.043469712138175964,0.01888306625187397,0.030849939212203026,0.04352249205112457,0.1446116864681244,0.05244375765323639,1.3777710604014424,0.027555421208028848,0.9977640509605408,0.9949178099632263,0.9903932213783264,0.8933323621749878,0.9792167544364929,0.30862122774124146,5,3,0.625,0.7642534375190735,1.7621835470199585,8.352161407470703,2.1989550590515137,6.153206825256348,66
8,2,0.04671033099293709,0.02346143126487732,0.03532097861170769,0.04771426320075989,0.14221304655075073,0.0518609881401062,1.5578177417750236,0.03115635483550047,0.9975709319114685,0.9931928515434265,0.9918466210365295,0.939508855342865,0.9769083261489868,0.301540732383728,5,3,0.625,0.7661798596382141,1.8044971227645874,8.671411514282227,2.4418907165527344,6.229520320892334,50
8,3,0.0463017039000988,0.022839421406388283,0.028189677745103836,0.057939209043979645,0.1329677700996399,0.06467507779598236,1.4587582842452278,0.029175165684904556,0.9967566728591919,0.9957572817802429,0.9886101484298706,0.9139841794967651,0.959285318851471,0.3438939154148102,5,3,0.625,0.7658030986785889,1.8015837669372559,8.531991958618164,2.2301502227783203,6.301842212677002,71
8,4,0.04868284985423088,0.021970218047499657,0.032563406974077225,0.04078136757016182,0.17422203719615936,0.058098576962947845,1.746886606268998,0.03493773212537996,0.9975529909133911,0.9942792654037476,0.9889742732048035,0.9336886405944824,0.9790043830871582,0.38729336857795715,5,3,0.625,0.7810801267623901,1.7972297668457031,8.840411186218262,2.5316989421844482,6.308712005615234,48
5,0,0.050581589341163635,0.022458842024207115,0.041809264570474625,0.061754923313856125,0.14570467174053192,0.052480943500995636,1.4518573930502412,0.029037147861004822,0.9971792101860046,0.9941790103912354,0.9873237013816833,0.9296881556510925,0.9862953424453735,0.4163685739040375,5,0,1.0,1.212580919265747,1.6610664129257202,8.727481842041016,2.36814284324646,6.359338760375977,37
5,1,0.04525274783372879,0.022344008088111877,0.03177331015467644,0.0410667285323143,0.14299613237380981,0.06199174374341965,1.7752961348065648,0.035505922696131294,0.997283399105072,0.9950497150421143,0.989606499671936,0.8816580176353455,0.9794848561286926,0.30573204159736633,5,0,1.0,1.2265503406524658,1.8187540769577026,8.431081771850586,2.234710693359375,6.196371555328369,36
5,2,0.04860183224081993,0.02042563445866108,0.03926924988627434,0.046774689108133316,0.16014179587364197,0.053824931383132935,1.4387555699279142,0.028775111398558283,0.9981750249862671,0.9941785335540771,0.9893593192100525,0.8909142017364502,0.97286057472229,0.2939906716346741,5,0,1.0,1.2178175449371338,1.852146029472351,8.572210311889648,2.3454372882843018,6.226773262023926,72
5,3,0.047458112239837646,0.024524064734578133,0.03396322950720787,0.05811051279306412,0.13351605832576752,0.05222126096487045,1.515499602120237,0.03030999204240474,0.9969403743743896,0.9958787560462952,0.9931337833404541,0.8243705034255981,0.9778265953063965,0.3327057361602783,5,0,1.0,1.2032904624938965,1.7464852333068848,8.453409194946289,2.2487800121307373,6.204628944396973,83
5,4,0.050438497215509415,0.022353287786245346,0.03749726340174675,0.03988659754395485,0.1797567754983902,0.056814614683389664,1.292378186644476,0.025847563732889517,0.9969996809959412,0.9942334890365601,0.9854968786239624,0.8796156048774719,0.9518476724624634,0.36410921812057495,5,0,1.0,1.2334566116333008,1.6924970149993896,8.808573722839355,2.5034759044647217,6.305097579956055,52
3,0,0.14051464200019836,0.021793970838189125,0.06489235907793045,0.09705185890197754,0.16602568328380585,1.0096436738967896,4.689361725792965,0.0937872345158593,0.9864879846572876,0.7577245235443115,0.8565752506256104,0.45460277795791626,0.008083581924438477,0.40862810611724854,3,0,1.0,1.6558326482772827,1.812046766281128,12.25063419342041,7.086915969848633,5.163718223571777,63
3,1,0.1360633820295334,0.01912773959338665,0.03297976404428482,0.11922284215688705,0.1507500857114792,1.041643500328064,3.3607222916471042,0.06721444583294209,0.997052013874054,0.9886845946311951,0.6282199621200562,0.26655882596969604,0.009500265121459961,0.3112570643424988,3,0,1.0,1.6771987676620483,1.8314456939697266,11.861693382263184,6.810169219970703,5.0515241622924805,43
3,2,0.13606484234333038,0.023342084139585495,0.04010770842432976,0.1332997977733612,0.1872861534357071,0.9162481427192688,3.9348317043967036,0.07869663408793408,0.9941049218177795,0.9586982131004333,0.6741561889648438,0.26920992136001587,0.024800777435302734,0.27858832478523254,3,0,1.0,1.6699448823928833,1.7963831424713135,12.29167366027832,7.106315612792969,5.18535852432251,88
3,3,0.12886181473731995,0.021714065223932266,0.0305654164403677,0.12988415360450745,0.14133040606975555,0.9387420415878296,2.720602389232593,0.054412047784651855,0.9961838126182556,0.9952489137649536,0.5927650928497314,0.3799958825111389,-0.03890204429626465,0.33716484904289246,3,0,1.0,1.6821755170822144,1.8347313404083252,11.591745376586914,6.476219177246094,5.11552619934082,62
3,4,0.260284423828125,0.0229373499751091,0.03700130060315132,0.049826882779598236,1.2891167402267456,0.9945357441902161,5.957026616373168,0.11914053232746337,0.9975618124008179,0.9944499135017395,0.9869609475135803,-0.00693511962890625,0.03206181526184082,-0.08275894820690155,3,0,1.0,1.5740679502487183,1.8253264427185059,17.8278865814209,12.987393379211426,4.840493679046631,34
2,0,0.23934997618198395,0.04679054394364357,0.229805126786232,0.38287094235420227,0.17939765751361847,1.0336682796478271,4.884135899610136,0.09768271799220272,0.8500052094459534,0.4579784870147705,0.0001856684684753418,0.4031059145927429,0.0006211996078491211,0.4255230724811554,2,0,1.0,2.1505703926086426,2.3667984008789062,16.372007369995117,11.939118385314941,4.432888507843018,100
2,1,0.2211005687713623,0.024519164115190506,0.23120258748531342,0.3329649865627289,0.15868403017520905,1.0435975790023804,4.7016595553170415,0.09403319110634083,0.98337721824646,0.2839697003364563,0.008965373039245605,0.184617817401886,-0.005309104919433594,0.34026384353637695,2,0,1.0,2.0932083129882812,2.384721040725708,15.439146041870117,11.183338165283203,4.255807876586914,100
2,2,0.3238159418106079,0.028891995549201965,0.21941044926643372,0.2640764117240906,1.1907929182052612,0.9306654334068298,8.133464525185158,0.16266929050370316,0.9338435530662537,0.7282453775405884,0.017479538917541504,-0.042308688163757324,0.017658650875091553,-0.02181321196258068,2,0,1.0,2.084845781326294,2.1948132514953613,21.099830627441406,16.973045349121094,4.1267852783203125,81
2,3,0.238491490483284,0.021557891741394997,0.24550658464431763,0.37766292691230774,0.28147995471954346,0.9592885971069336,5.28182520483083,0.1056365040966166,0.9946874380111694,0.23315000534057617,-0.006549954414367676,0.2727541923522949,-0.029862403869628906,0.39635416865348816,2,0,1.0,2.072683095932007,2.1796066761016846,16.23975372314453,11.85162353515625,4.388131141662598,100
2,4,0.22605609893798828,0.047743864357471466,0.19670739769935608,0.3511834442615509,0.19268342852592468,1.0054676532745361,3.2187002387695043,0.06437400477539008,0.9321218729019165,0.23448801040649414,0.0011621713638305664,0.4608736038208008,-0.036162614822387695,0.49967992305755615,2,0,1.0,2.112943410873413,2.3170523643493652,15.821982383728027,11.490259170532227,4.331723213195801,100
1,0,0.5038737058639526,0.1755792200565338,0.32756808400154114,0.7564113140106201,1.2643359899520874,1.028494119644165,12.592974803375819,0.2518594960675164,0.7612249851226807,-0.021403789520263672,0.007885754108428955,0.00023603439331054688,-0.00051116943359375,-0.10753686726093292,1,0,1.0,2.8875699043273926,2.8875699043273926,28.704957962036133,25.80177116394043,2.903186559677124,100
1,1,0.4580715000629425,0.15753261744976044,0.2551519274711609,0.9948144555091858,0.7648983597755432,1.0357983112335205,20.120406792344806,0.4024081358468961,0.5929723978042603,-0.019053220748901367,-0.0012139081954956055,0.0033115148544311523,-0.006684422492980957,-0.01686019077897072,1,0,1.0,2.720820665359497,2.720820665359497,26.230140686035156,23.33890151977539,2.891238212585449,66
1,2,0.42332035303115845,0.14363470673561096,0.31573954224586487,0.848504900932312,0.6607401371002197,0.9379926919937134,10.591659154440435,0.21183318308880872,0.3591321110725403,-0.008721590042114258,0.0009167194366455078,0.09545367956161499,0.010053038597106934,0.49061840772628784,1,0,1.0,3.1150474548339844,3.1150474548339844,24.417760848999023,21.413007736206055,3.0047528743743896,100
1,3,0.39650431275367737,0.14309105277061462,0.27280375361442566,0.9807515740394592,0.3373613655567169,0.9548925757408142,7.957352050531796,0.15914704101063593,0.2672673463821411,-0.059213876724243164,-0.0022733211517333984,0.2596052289009094,-0.006719827651977539,0.5551328659057617,1,0,1.0,3.052300453186035,3.052300453186035,23.552255630493164,20.53067398071289,3.0215821266174316,100
1,4,0.4935332238674164,0.21029828488826752,0.3531453013420105,0.5608735084533691,1.280230164527893,1.016145944595337,12.300499805132244,0.24600999610264487,0.7876330614089966,-0.013207316398620605,8.529424667358398e-05,-0.00412297248840332,-0.0040438175201416016,-0.046872831881046295,1,0,1.0,2.6884214878082275,2.6884214878082275,27.823612213134766,24.935962677001953,2.8876492977142334,100
